Full Text	GPT-4 Summary	GPT-4 Title
Between mechanical clocks and emergent flocks: complexities in biology // F. Gross // 2021		
Everybody agrees that living systems are complex. An altogether different question, however, is whether everybody agrees about what they actually mean by “complex”. This question is not easy to answer because when using the term, biologists mostly do not engage in much further reflection on its meaning. One exception is the debate around the controversial question of whether evolution shows a trend of increasing complexity (e.g. Bonner 1988; Smith and Szathmary 1995; Gould 1996). In order to understand whether complexity changes across episodes of evolutionary change, evolutionary biologists have tried to come up with quantitative measures for the complexity of an organism, or of some of its structural features (e.g. McShea 2005). Yet, even in this context, as one of the involved scientists soberly remarks, “[m]ost agree ...that nobody knows precisely what is meant by the word ‘complexity’ when referring to a biological organism” (Adami 2002, p. 1085).	While it's universally acknowledged that living systems are complex, the definition of "complex" is often assumed and not explicitly discussed in biology. There's a notable exception in evolutionary biology debates concerning trends of increasing complexity. Here, biologists attempt to create quantitative measures for an organism's complexity. Despite these efforts, there's still no consensus on what exactly "complexity" means in the context of a biological organism.	The Elusive Definition of "Complexity" in Biology
Complexity is not untypical in this regard, of course. Biologists are mainly concerned with using concepts and not with clarifying or defining them. So if we want to get a clearer picture, we should perhaps consult the work of philosophers, one of whose core businesses is, after all, the analysis of concepts. It turns out, however, that here we are faced with a similar problem. Just like biologists themselves, philosophers of biology frequently talk about complexity, but they typically do not make explicit, or are at least not very precise about, what they mean by it. One reason could be that complexity is simply a rather trivial concept and clarification not worth any serious effort. Alternatively, further clarification might be impossible because the concept itself is too complex.	Both biologists and philosophers frequently use the term "complexity" without explicitly defining it. The concept may be viewed as trivial or too intricate for precise definition.	The Implicit Use of "Complexity" in Biology and Philosophy
In this paper, I argue that further clarification of the notion of biological complexity is an important, non-trivial, and achievable task. I propose a unifying framework based on Murray Gell-Mann’s notion of “effective complexity” that allows me to make sense of different and partially conflicting intuitions about biological complexity and to take into account some distinctions in the usage of the concept that are often overlooked in the philosophical literature. In particular, I argue that in the context of biology “complexity” is both used with reference to the behavior of a system and with reference to the underlying mechanism. Different perspectives on complexity can be understood as different ways of relating these two uses of the term. My illustrations are mainly taken from the fields of molecular and cell biology because they provide particularly instructive examples, but I think that the basic concepts can be applied to biology more generally.	The paper proposes using Murray Gell-Mann's "effective complexity" as a framework to better define "complexity" in biology, relating it to both system behavior and underlying mechanisms.	Effective Complexity as a Unifying Framework for Biological Complexity
The paper is structured as follows. In Sect. 2, I motivate the claim that the concept of biological complexity needs further clarification. Section 3 discusses a number of distinctions that a clarified account of complexity must take into consideration. Section 4 outlines my unified perspective on biological complexity, while Sect. 5 shows the adequacy of this perspective by applying it to concrete examples of research in molecular and cell biology. I conclude with some remarks on the relevance of my framework for recent debates in philosophy of biology.	The paper outlines the need for a clearer definition of biological complexity, proposes a unified perspective, applies it to specific examples, and discusses its relevance to philosophical debates.	A Structured Approach to Defining Biological Complexity
Ambiguity and vagueness around biological complexity		
In two seminal works on biological complexity, Bechtel and Richardson’s Discovering Complexity and Sandra Mitchell’s Biological Complexity and Integrative Pluralism, one finds surprisingly little explicit discussion of the meaning of “complexity”. Bechtel and Richardson, for example, write that "[m]any machines are simple, consisting of only a handful of parts that interact minimally or in a linear way. In these machines we can trace and describe the events occurring straightforwardly, relating first what is done by one component, then how this affects the next. Such machines induce little cognitive strain. Some machines, however, are much more complex: one component may affect and be affected by several others, with a cascading effect; or there may be significant feedback from “later” to “earlier” stages. In the latter case, what is functionally dependent becomes unclear. Interaction among components becomes critical. Mechanisms of this latter kind are complex systems. In the extreme they are integrated systems. In such cases, attempting to understand the operation of the entire machine by following the activities in each component in a brute force manner is liable to be futile. (Bechtel and Richardson 2010, p. 18).   And the closest Mitchell comes to something like a general definition is in the following passage:"Minimally, complex systems can be distinguished from simple objects by having multiple parts that stand in nonsimple relations. That is, there is structure or order in the way in which the whole is composed of the parts. (Mitchell 2003, p. 5)"	In their significant works on biological complexity, Bechtel, Richardson, and Mitchell provide only implicit definitions of "complexity." Bechtel and Richardson describe complex systems as having multiple interrelated components, where understanding the operation of the whole machine by brute force examination of each part may be futile. Mitchell differentiates complex systems from simple objects by stating that the former have multiple parts in non-simple relations, with a structure or order in how the whole is composed of the parts.	Implicit Definitions of Complexity in Key Biological Works
While highly suggestive, these characterizations raise more questions than answers. What does it mean, for example, that interactions in a system are critical? What is a nonsimple relation? When do we say that there is structure or order in a system? Thus, they are hardly sufficient guides when it comes to determining whether, or in what way a particular system is complex, or when we want to compare the complexity of different systems.	The characterizations of complexity by Bechtel, Richardson, and Mitchell, while intriguing, are ambiguous, making it difficult to determine or compare the complexity of various systems.	Ambiguity in Current Definitions of Complexity
Is this a problem? Perhaps not. Perhaps the concept of biological complexity is intuitively clear enough, or even trivial, and any attempt at further clarification would amount to the superfluous exercise of spelling out what everybody already knows. Conversely, one may think that attempts of further clarifying complexity are futile because the notion itself is too complex. Perhaps it simply does not allow for one unifying definition but requires many different accounts depending on the context. A third possibility is that nothing much hinges on the exact meaning of the term. Biologists and philosophers may often use it, but it may in most contexts not play an important theoretical role. Perhaps complexity, just like the concept of life itself, refers to a feature that is so fundamental in biology that it rarely comes to the fore?	The lack of clarity around the concept of biological complexity might not be problematic. It could be that the concept is intuitively understood or trivial. Alternatively, the concept may be so intricate that it doesn't allow for a unifying definition. It could also be that the precise meaning isn't crucial as the term doesn't play a significant theoretical role, similar to the concept of life in biology.	Potential Reasons for the Ambiguity of Biological Complexity
The first option, according to which an intuitive notion is clear enough, does not seem plausible. In particular, it would imply that Bechtel and Richardson and Mitchell allude to the same “simple” idea of complexity. But when considering the quotes above, one can already see that potentially diverging intuitions are involved. While Bechtel and Richardson emphasize the fact that complex systems resist simple description, Mitchell takes order to be a hallmark of complexity, and thus a feature that prima facie makes our attempts at describing and understanding a system easier. A clarified account of complexity would minimally need to spell out how one should balance the idea of complexity as related to structure or order against the idea of complexity as “complicatedness”.	The idea that complexity is intuitively understood seems implausible due to contrasting views. Some emphasize complexity as difficult to describe while others see it as structured or ordered. This necessitates reconciling these aspects in defining complexity.	Contrasting Views and Reconciliation in Complexity Definition
The second option, according to which a unified idea of complexity is not available because the concept itself is too heterogeneous, seems to be what Sandra Mitchell has in mind: "The multiplicity of definitions of “complexity” reflects not confusion on the part of scientists but the actual variety of ways that systems are complex." (Mitchell 2003, p. 4) Mitchell is specifically referring to the observation that while many different measures of complexity have been proposed for various purposes, no single measure seems to work in every context (Lloyd and Pagels 1988). A similar view on the “complexity of complexity” has been articulated by Rescher (1998). In response to this observation, Mitchell provides a “taxonomy” of complexity, distinguishing between constitutive, dynamic, and evolved complexity. While constitutional complexity applies to systems that are composed of different kinds of parts, such as a multicellular organism, dynamic complexity is related to mathematical features of descriptions of the processes occurring in certain systems, such as non-linearity or self-organization. Evolved complexity, finally, refers to diversity that is due to the contingency and randomness involved in evolutionary processes. However, it is clear that Mitchell thinks of these different types of complexity as related in some way given that “complexity” in an unqualified sense plays a central role in some of her general arguments. This raises the question whether it is possible to say something non-trivial about the common core underlying these different types.	The second idea, that a unified definition of complexity is unavailable due to the concept's heterogeneity, is supported by Mitchell. She highlights multiple ways systems can be complex and suggests that various measures of complexity are context-dependent. Mitchell provides a "taxonomy" of complexity, distinguishing between constitutive, dynamic, and evolved complexity. However, she implies these types are related, raising the question of what their common core might be.	Multiple Forms of Complexity and their Underlying Core
