An Introduction to History of Science and the Emotions // Dror, Hitzer, Laukotter, Leon-Sanz // 2016		
Over the past two or three decades, the study of emotions has revolutionized our conceptions of human nature. What we now call the “Emotional Turn” challenged earlier scientific understandings of humans—our brains, our bodies, and the laws that govern their functions within and between individuals—and of society as a whole. Research on emotions has contributed to the invention of new scientific techniques and instruments, to the development of new ways of seeing and making visible, to the reorganization of the hierarchy of disciplines in science, as well as to the public visibility of and political interest in science.	The "Emotional Turn" over recent decades has reshaped our understanding of human nature, led to new scientific methods and instruments, and heightened public and political interest in science.	Revolution of Emotion Studies
This turn to emotions is now visible in the neurosciences, economics, sociology, anthropology, criminology, philosophy, and literary and media studies. In history, the study of emotions is no longer the lonely enterprise of a marginal avant-garde but a burgeoning, increasingly respected, and established field within historiography. Numerous conferences, dedicated monograph series, and new journals and centers for the study of the history of emotions testify to the success of this new field.	Emotion studies has spread across diverse fields like neurosciences to sociology and has become an established field in historiography, signified by numerous dedicated events and resources.	Emotion Studies' Growth Across Disciplines
But should one follow this new historiographical trend and add a history-of-emotions perspective to the history of science and a history-of-science perspective to the history of emotions? This question is as legitimate as it is rhetorical since this volume testifies to our conviction that the history of emotions can indeed contribute a valuable and challenging perspective to the history of science and that the history of science can significantly enrich the history, sociology, and anthropology of emotions, as well as the study of emotions in the neurosciences.	The idea of integrating a history-of-emotions perspective into the history of science, and vice versa, is deemed valuable and challenging. This approach could enrich the understanding of emotion history, sociology, anthropology, and neuroscience studies.	Interplay of Emotion and Science Histories
One compelling argument in favor of such a perspective lies in the necessary intellectual critique of the present-day viewpoint of science, the need to historicize emotion concepts, to detect alternative but oftentimes marginalized scientific routes into emotion research, and, ultimately, to articulate the complex genealogy of the emotional turn from a history-of-science perspective. This latter history of the science of the present is no less significant for the humanities than it is for the neurosciences because numerous affective theorists and emotion researchers in history, sociology, anthropology, and philosophy draw deliberately or unselfconsciously on the recent neurosciences of emotions in formulating their conceptions and assumptions regarding the emotions. While some criticize the explicit adoption of scientific models of emotions in the humanities and social sciences, others present it as a positive and progressive development in overcoming the abstractions and reductionisms of discourse, incorporating the body into history, and bypassing the Cartesian divide between reason and emotion (mind and body). A critical history of the modern sciences of emotions is thus essential for reflecting on and contextualizing our own assumptions and scholarship, as several contributions to this volume exemplify: be it the recent history of motherly love going schizogenic, as Anne Harrington shows, or the neurophysiological discovery of a “new” post-1945 “supramaximal” “super-pleasure,” which Otniel E. Dror examines.	Integrating history-of-emotions with history-of-science is advantageous. It aids in critiquing contemporary science views, exploring overlooked research paths, and understanding the emotional turn's origin. Despite debates, such integration is seen as a step towards resolving traditional mind-body division and enriching discourse. This is crucial for contextualizing our understanding and research in modern emotion sciences.	Integrating Histories for a Holistic View
But the history of science and the history of emotions can offer each other much more than this important historical inquiry into their respective presents. The history of science can extend the history of emotions by proffering science qua science as a new, even if at first blush unlikely, resource for the study of emotions. It can also expand the very notion of what an emotion is (and what the study of the history of emotions is about) and it can enrich and challenge narratives of emotions, as Piroska Nagy and Damien Boquet demonstrate in this volume by calling into question the grand narrative of scientific emotions as a specifically modern phenomenon. In a reciprocal manner, the history of emotions can provide historians of science with what has been repeatedly demanded during the last decade: a broader perspective on history beyond the scope of micro- or case studies, as well as a more tightly knit integration of the history of science into general history.9 As Robert E. Kohler and Kathryn M. Olesko suggested in a recent Osiris volume, instead of calling for a big-picture history, historians of science should move toward big thinking. Big thinking is a call to “develop the generalities that grow out of and remain rooted in specialized research.”10 Kohler and Olesko rightfully argued that this kind of midscale history entailed a critical reexamination of three historiographical fundamentals: namely, the categories of analysis, the subjects, and, eventually, the periodizations.11 The history of emotions invites historians to rethink and reframe these three historiographical fundamentals.	Beyond examining their respective presents, the history of science and the history of emotions can significantly benefit each other. The history of science can offer a fresh perspective on studying emotions, broaden the understanding of emotions, and challenge prevailing narratives. Conversely, the history of emotions can provide a broader view for science historians, helping to integrate science history into general history. This promotes "big thinking," which requires a reevaluation of fundamental historiographical aspects like analysis categories, subjects, and periodizations, and hence allows historians to reframe these fundamentals.	Mutual Enrichment of Emotion and Science Histories
* * *		
What is the history of emotions about? Are emotions a new analytical category like gender or class (even if very different in kind), or are they a subject of historical analysis in and of themselves, like the senses or pain?12 In the title of his famous 1884 Mind article, William James asked, “What Is an Emotion?” This question is open to historical investigation. Historians of emotions reject essentialist definitions of emotion(s). “Emotion” basically indicates that humans at different times and from different regions, classes, and genders used concepts with many different names to describe a human (sometimes also an animal) faculty that was in some way or another related to the bodily sensations of feeling, touching, and moving, that was more or other than just thoughts, and that was part of the human experience as shared experience and communication. Emotion, in this basic sense, was for most of history’s course regarded as fundamental to human existence and to human action. Recently, scholars have begun to discuss the possible differences between and assumed political significance of “emotions” and “affects.” “Affects”—as theorists like William E. Conolly and Nigel Thrift assume—are bound more closely to the body than emotions, cannot be reduced to discourses, are preconscious and nonintentional, and are thus incompletely understood in rational terms.	The history of emotions is about reevaluating the understanding of emotions as an analytical category or as a subject for historical analysis. Historians of emotions dismiss essentialist definitions and highlight that emotions are complex concepts that vary based on factors like time, region, class, and gender. They focus on describing a human faculty related to sensations of feeling and communication. Recently, distinctions have been made between "emotions" and "affects," with the latter being more tied to the body, preconscious, nonintentional, and less understood in rational terms.	Understanding the Concept of Emotions in History
But in using emotion(s) as an analytical category, historians have to go beyond this basic definition without losing their historical sensitivity to the equivocality of and the conceptual shifts in emotion concepts. Thus, even within a single scientific discipline, various conflicting concepts of “emotions” might have coexisted, as Bettina Hitzer and Pilar Léon-Sanz demonstrate in this volume in their study of psychosomatic cancer medicine in the twentieth century. If emotion is to be as useful a category of historical analysis as gender currently is, it has to be regarded as intelligible; if it is to be historicized, it has to be, at least in part, learned and culturally specific. If emotions remain irrational and arbitrary, they are not fully accessible for historical analysis. In this case, historians can only describe in which way they triggered historical events or decisions. The emotion itself, its internal dynamic, its implications within processes of subjectification, as well as its role in shaping practices and material cultures, would remain opaque. If we regard emotions not as universals, then we might ask how emotions evolve, how they are learned, why they change, and what effects these changes have, a challenge that Felicity Callard takes up in investigating the history of panic disorder in this volume. Only this understanding of emotions allows us to include questions pertaining to historical developments and changes on the individual, social group, and societal levels in the analysis.	Using emotions as an analytical category in history involves acknowledging their complexity and changeability over time and across disciplines. Emotions need to be seen as learned and culturally specific to be useful for historical analysis. A comprehensive understanding of emotions, considering their evolution, learning, changes, and societal impacts, allows for more nuanced historical analysis.	Analytical Value of Emotions in Historical Studies
As a category of analysis sui generis, emotion is not reducible to other categories or forms of historical explanations, and it offers a distinctive prism through which to (re)interpret historical events. It partly constitutes historical developments rather than being (only) derivative. It is, in other words, “a force giving shape to politics, society and culture, to beliefs and values, and to everyday life, institutional settings, and the processes of decision making.”	Emotion serves as a unique, shaping force in history, influencing politics, culture, beliefs, and daily life, offering a distinct lens for interpreting historical events.	Emotion's Role in History
Emotion is not necessarily intentional, nor is it limited to explaining human actions or motivations. But this is, of course, one possibility in using the category “emotion.” It was in this first sense that the history of emotions shifted the historiographical ground by emphasizing agency over causation in historical analysis. What scared people, “what made them joyful or proud or disgusted or compassionate [became] … fundamental to understanding what those same people decided and did.” Taking this route into the history of emotions does not dismiss the possible significance of other elements that determine human agency, since emotions are often part of a complex interplay with political, economic, scientific, or other arguments, as well as pragmatic considerations. The analysis of this complex interweaving is central to many contributions to this volume. Anja Laukötter, for example, highlights how the very constitution of the modern human subject and his or her emotions was negotiated when discussing the psychological underpinnings of health education films.	Emotion, while not always intentional, plays a significant role in understanding human actions and motivations in history. The study of emotions emphasizes agency over causation, making it key to understanding people's decisions and actions. Emotions interact with political, economic, and scientific factors in this context, underlining the need to analyze this intricate interplay, as demonstrated in several contributions to this volume.	Emotion's Influence on Historical Agency
