Full Text	GPT-4 Summary	GPT-4 Title	
Introduction to Postprint			
Musing, you hold two books, one in your left hand, the other in your right. The left-hand book is a first edition of William Faulkner’s classic novel The Sound and the Fury (1929), for which you paid a staggeringly extravagant sum at a rare-book dealer. The right-hand book is a copy of the same novel that you bought on Amazon for a tiny fraction of that cost. Although you may not know it, the right-hand book was printed by CreateSpace, a digital publishing platform, at a nearby location to ensure you would receive it the next day. The bindings of course are different, but other than the colophon and publication date, all the words in both texts are the same. What do the differences matter, you think, except to a bibliophile like you, who prizes the aura of a first edition? Both are print books, aren’t they?	Two copies of the same novel are compared: a costly first edition and a cheap, print-on-demand version, raising the question of their differing value to a book lover.	Perceived Value in Books	
The contradictory perceptions articulated here express the conundrum at the heart of contemporary print books. On the one hand, as Alexander Starre puts it, “the printed book as it is sold in bookstores or shelved in university libraries is essentially the same as it has been since Gutenberg invented moveable printing.” As Starre’s careful qualification of shelved books hints, this illusion can be maintained only if the print book is regarded as an object in isolation. As soon as contexts are brought into view, the picture changes dramatically, represented in my example by noting the “aura” of the pricey first edition versus the print-on-demand knock-off. These contexts reveal that every aspect of print has been utterly transformed from Gutenberg’s (or Virginia Woolf’s) time, including how print books are composed, edited, designed, manufactured, warehoused, distributed, inventoried, sold, and read. This book argues that it is time—indeed, past time—to create a vocabulary and conceptual framework acknowledging the sea change that occurred when computational media permeated the printing industry. Like the slow accretion of chemicals on objects submerged in ocean water, this change took a half century or more to be fully realized, beginning roughly around 1950 and reaching full penetration with the new millennium. The term I propose to designate this new state of affairs is postprint.	Print books have evolved considerably since Gutenberg's time due to computational media's influence, altering every aspect from production to consumption. This shift, termed "postprint," demands a new vocabulary and understanding.	Unveiling the  Postprint Revolution	
“Oh no,” I hear you groan, “not another ‘post-’!” Yes, I know, it’s a drag, but it honestly seems the most appropriate term to describe where we are now with respect to the contemporary production and consumption of bound books. Post-, as always, implies both succession and displacement, continuation and rupture. For clarity, I use print to refer to the long reign of bound books produced by printing presses from the fifteenth century to the mid–twentieth century and postprint for books produced after roughly 2000. The half century of innovation between 1950 and 2000 marks the decades when computational technologies transformed the printing industry. Of course, many innovations preceded this period, including lithography (1796), chromolithography (1837), rotary presses (1843), and offset printing (1875). But these changes were incremental, affecting only a small portion of the print regime. The period from 1950 to 2000 represents a difference in scale so dramatic that it amounts to a qualitative, not merely quantitative transformation. It is no exaggeration to say it constitutes a rupture in the genealogy of printed books—the rupture denoted by the term postprint. To find a transformation of comparable import, we would need to reference the invention of moveable type and the Gutenberg printing press. Although numerous studies have explored the implications of the printing press and the massive economic, social, cultural, and religious changes it brought about (including studies by Elizabeth Eisenstein and Adrian Johns, among others), the full story of postprint is only beginning to be written. This book aspires to contribute to that effort.	The term "postprint" refers to the era after 2000, marked by a significant, qualitative transformation in book production due to computational technologies. This change, comparable to Gutenberg's movable type invention, is just beginning to be fully understood and studied.	Defining the  Postprint Era	
What elements make postprint distinctively different from print? One approach would be to reference the differences that code makes in the material production of texts. The book artist and theorist Amaranth Borsuk captures this aspect of the computational transformation when she notes that “a text’s digital life untethers it from any specific material support, making it accessible through a variety of interfaces (including the computer, cell phone, tablet, and dedicated e-reader), each of which influences our reading.” The codes underlying digital texts position print in a profoundly different way than it was positioned in the previous epochs, for in the postprint era hard copy becomes merely one kind of output among many possible displays. As Borsuk concisely observes, “When books become content to be marketed and sold this way [as e-books], the historic relationship between materiality and text is severed.” I would modify her observation by adding that although the specificity of display varies, as she notes, it is important to realize that digital forms are also instantiated in specific platforms, operating systems, coding protocols, and display mechanisms. The difference is emphatically not between the materiality of print and the immateriality of digital forms, as is sometimes proclaimed, but rather between different kinds of material instantiations and diverse kinds of textual bodies.	Postprint is distinguished from traditional print by its integration of code in text production, allowing text to be untethered from specific material supports and accessed via various digital interfaces. In this era, hard copy is one of many possible displays. However, digital forms also rely on specific platforms, systems, and codes, making the key difference not about materiality versus immateriality, but rather about differing material instantiations and diverse textual bodies.	Materiality and Digital Transformation	
To enhance the reader’s awareness of the code layers essential for generating the print page in the postprint era, this book features ten black pages with white ink that display one or more of the code layers necessary for producing the facing white page. By analogy with X-rays that reveal the body’s otherwise visually inaccessible skeletal frame, these pages may be considered “X-ray” versions of the print page, revealing the code architectures hidden from the print reader’s view but essential for the (post)print reading experience. Captions identify the relation of the displayed code to the print page, and readers are invited to read across the page spread, correlating black with white, code with output.	The book includes "X-ray" pages showing the hidden code behind the print page, emphasizing the integral role of this code in the postprint reading experience.	Revealing Code Layers in Postprint	
Moreover, this design alludes to the phenomenon that Jessica Pressman calls the “aesthetic of bookishness.” She argues that the advent of the digital has had the paradoxical effect of stimulating widespread interest in the history of the book, with a flowering of scholarship in this area that is truly remarkable. Our collaboratively coedited essay collection Comparative Textual Media: Transforming the Humanities in the Postprint Era, which was among the first to put the term postprint into circulation, brought together some of this research to demonstrate that digitality has not endangered print books, as Jeff Gomez asserts in Print Is Dead, but rather has opened possibilities to compare different forms of textual media by engaging in what I have elsewhere called “media-specific analysis.” Here media-specific analysis takes the form of visual presentations of code along with print pages, suggesting that traditional forms of reading print may now be augmented to include reading the underlying code as well. The idea of media-specific analysis grew out of my long interest in the materiality of texts, shown perhaps most extensively in my artist’s book collaboration with designer Anne Burdick, Writing Machines. Almost a decade ago, then, I was already experimenting with the idea of “postprint,” but it has taken the intervening years for me to have the time and framework through which I could make this more than a rhetorical assertion. Now, with this book, I present a fully fleshed-out argument based on archival research, interviews, and, perhaps most importantly, an encompassing conceptual framework within which to position postprint as part of larger social, economic, and cognitive transformations. I see these transformations as analogous to other world-changing and species-defining cognitive developments such as the inventions of language and literacy. Borsuk makes much the same point when she succinctly observes, “It bears emphasizing that writing itself fundamentally changed human consciousness, much as our reliance on networked and digital devices has altered us at the core."	The digital era, paradoxically, has renewed interest in book history. The term "postprint" is used to encapsulate this shift where traditional print reading is now complemented with reading the underlying code. This book presents a comprehensive argument for postprint, considering it as part of broader social, economic, and cognitive changes, akin to transformative developments like the invention of language and literacy. These alterations fundamentally change human consciousness, similar to the effects of reliance on digital and networked devices.	Augmenting Traditional Reading	
 Why Cognition? 			
How to capture the essence of these transformations? Although the interjection of code into textuality captures limited aspects of the change, the transformation’s full scope is much broader. My approach has been to scale up (and down) to what I see as the catalyst for all of postprint’s diverse aspects—namely, the emergence of cognition in artificial media. Just as the advent of the digital has catalyzed the history of the book by bringing the codex back into visibility, shattering its taken-for-granted quality acquired through centuries of habituation, so the emergence of cognition in artificial media has stimulated a reconceptualization of cognition in general, including biological cognition. Through several books, including How We Became Posthuman: Virtual Bodies in Cybernetics, Literature, and Informatics; My Mother Was a Computer: Digital Subjects and Literary Texts; How We Think: Digital Media and Contemporary Technogenesis; and especially Unthought: The Power of the Cognitive Nonconscious,9 I have explored the relationship of human cognition to computational media and to cognition generally. This journey has also involved reexamining the role of cognition in human life, for which I drew on recent work in neuroscience, cognitive science, and related fields demonstrating that cognition is much broader and deeper than consciousness. To make the argument effectively, I obviously needed to define cognition. To emphasize that cognition includes consciousness but is not limited to it, I wanted to position it so it would include affective responses, internal and external sensory systems, nonconscious cognition, and other embodied, enactive, and embedded bodily capacities. I also wanted it to connect with contexts that include internal and external milieu. After considerable deliberation, here is what I came up with: “Cognition is a process of interpreting information in contexts that connect it with meaning.” This definition has the advantage of conciseness; it also invokes two terms especially potent within the humanities, interpretation and meaning, which also require more explication.	This transformation extends beyond code interjection into textuality; it encapsulates the emergence of cognition in artificial media. As digital advent revived the history of the book, cognition's emergence in artificial media prompted a reconsideration of cognition, including biological cognition. This includes an expansive understanding of cognition to encompass consciousness, affective responses, sensory systems, nonconscious cognition, and other bodily capacities. Therefore, cognition is defined as the process of interpreting information in contexts that connect it with meaning. This brings potent concepts from humanities into focus - interpretation and meaning.	Non-human cognition: biological and artificial interpretation	
Starting from this foundation, I argued that all biological life-forms have some cognitive capacities, even those without brains, such as nematode worms and plants. To reposition the terms meaning and interpretation, I drew from biosemiotics, a field that studies sign creation, interpretation, and dissemination among nonhuman species. For biosemioticians such as Jesper Hoffmeyer, Terrence Deacon, and Wendy Wheeler, meaning-making practices are essentially behaviors evoked by environmental changes, such as a deciduous tree losing its leaves in winter.10 In this minimal sense, all life-forms perform interpretations on information coming from their environments (for multicellular organisms, also coming from their internal sensory systems), which are meaningful to them within their world horizons (or Umwelten, as Jacob von Uexküll puts it).	Cognitive capacities extend to all biological life-forms, including those without brains, such as nematode worms and plants. Meaning and interpretation are redefined through biosemiotics, studying sign creation and interpretation among nonhuman species. Environmental changes incite behaviors that create meaning, and life-forms interpret environmental information within their own context.	Cognition Across Life-Forms	
