The Gift // Lewis Hyde // 1983 		
At the corner drugstore my neighbors and I can now buy a line of romantic novels written according to a formula developed through market research. An advertising agency polled a group of women readers. What age should the heroine be? (She should be between nineteen and twenty-seven.) Should the man she meets be married or single? (Recently widowed is best.) The hero and heroine are not allowed in bed together until they are married. Each novel is 192 pages long. Even the name of the series and the design of the cover have been tailored to the demands of the market. (The name Silhouette was preferred over Belladonna, Surrender, Tiffany, and Magnolia; gold curlicues were chosen to frame the cover.) Six new titles appear each month and two hundred thousand copies of each title are printed.	A series of romantic novels sold at a local drugstore are written based on market research. The research determined the characters' age, marital status, and even the length of the book. The series' name and cover design were also chosen based on consumer preferences. 	Market Research Dictates Romantic Novels
Why do we suspect that Silhouette Romances will not be enduring works of art? What is it about a work of art, even when it is bought and sold in the market, that makes us distinguish it from such pure commodities as these? It is the assumption of this book that a work of art is a gift, not a commodity. Or, to state the modern case with more precision, that works of art exist simultaneously in two “economies,” a market economy and a gift economy. Only one of these is essential, however: a work of art can survive without the market, but where there is no gift there is no art.	The book argues that a work of art is fundamentally a gift, not a commodity. While art can exist in both a market economy and a gift economy, its true essence is tied to the latter. Art can survive without the market, but without the element of a gift, it ceases to be art.	Art as a Gift, Not a Commodity
There are several distinct senses of “gift” that lie behind these ideas, but common to each of them is the notion that a gift is a thing we do not get by our own efforts. We cannot buy it; we cannot acquire it through an act of will. It is bestowed upon us. Thus we rightly speak of “talent” as a “gift,” for although a talent can be perfected through an effort of the will, no effort in the world can cause its initial appearance. Mozart, composing on the harpsichord at the age of four, had a gift.	Art is fundamentally linked to the concept of a "gift", something bestowed upon us, not acquired or bought. This is exemplified in talents, like Mozart's musical abilities, which emerge naturally and are beyond our control.	Art as a Gift
We also rightly speak of intuition or inspiration as a gift. As the artist works, some portion of his creation is bestowed upon him. An idea pops into his head, a tune begins to play, a phrase comes to mind, a color falls in place on the canvas. Usually, in fact, the artist does not find himself engaged or exhilarated by the work, nor does it seem authentic, until this gratuitous element has appeared, so that along with any true creation comes the uncanny sense that “I,” the artist, did not make the work. “Not I, not I, but the wind that blows through me,” says D. H. Lawrence. Not all artists emphasize the “gift” phase of their creations to the degree that Lawrence does, but all artists feel it.	Artistic inspiration is often seen as a "gift" that spontaneously appears during the creative process, bringing authenticity and exhilaration. It feels as if it comes through the artist, rather than from them.	The Gift of Artistic Inspiration
These two senses of gift refer only to the creation of the work—what we might call the inner life of art; but it is my assumption that we should extend this way of speaking to its outer life as well, to the work after it has left its maker’s hands. That art that matters to us—which moves the heart, or revives the soul, or delights the senses, or offers courage for living, however we choose to describe the experience—that work is received by us as a gift is received. Even if we have paid a fee at the door of the museum or concert hall, when we are touched by a work of art something comes to us which has nothing to do with the price. I went to see a landscape painter’s works, and that evening, walking among pine trees near my home, I could see the shapes and colors I had not seen the day before. The spirit of an artist’s gifts can wake our own. The work appeals, as Joseph Conrad says, to a part of our being which is itself a gift and not an acquisition. Our sense of harmony can hear the harmonies that Mozart heard. We may not have the power to profess our gifts as the artist does, and yet we come to recognize, and in a sense to receive, the endowments of our being through the agency of his creation. We feel fortunate, even redeemed. The daily commerce of our lives—“sugar for sugar and salt for salt,” as the blues singers say—proceeds at its own constant level, but a gift revives the soul. When we are moved by art we are grateful that the artist lived, grateful that he labored in the service of his gifts.	Art has the power to move us, to change our perception, and to awaken our own creativity. This transformative experience is received as a gift, separate from any monetary transaction. The artist's work touches a part of us that is a gift in itself, not an acquisition. This interaction revives the soul and makes us grateful for the artist's existence and their dedication to their craft.	The Transformative Power of Art
If a work of art is the emanation of its maker’s gift and if it is received by its audience as a gift, then is it, too, a gift? I have framed the question to imply an affirmative answer, but I doubt we can be so categorical. Any object, any item of commerce, becomes one kind of property or another depending on how we use it. Even if a work of art contains the spirit of the artist’s gift, it does not follow that the work itself is a gift. It is what we make of it.	Art embodies the artist's gift and can be received as a gift by the audience. However, whether it's considered a gift or a commodity depends on our interaction and interpretation of it.	Gift or Commodity?
And yet, that said, it must be added that the way we treat a thing can sometimes change its nature. For example, religions often prohibit the sale of sacred objects, the implication being that their sanctity is lost if they are bought and sold. A work of art seems to be a hardier breed; it can be sold in the market and still emerge a work of art. But if it is true that in the essential commerce of art a gift is carried by the work from the artist to his audience, if I am right to say that where there is no gift there is no art, then it may be possible to destroy a work of art by converting it into a pure commodity. Such, at any rate, is my position. I do not maintain that art cannot be bought and sold; I do maintain that the gift portion of the work places a constraint upon our merchandising.	While art can be bought and sold without losing its essence, the inherent gift within it imposes a limit on its commercialization. The transformation of art into a pure commodity may risk destroying its artistic value.	The Delicate Balance of Art as a Gift and Commodity
The particular form that my elaboration of these ideas has taken may best be introduced through a description of how I came to my topic in the first place. For some years now I myself have tried to make my way as a poet, a translator, and a sort of “scholar without institution.” Inevitably the money question comes up; labors such as mine are notoriously non-remunerative, and the landlord is not interested in your book of translations the day the rent falls due. A necessary corollary seems to follow the proposition that a work of art is a gift: there is nothing in the labor of art itself that will automatically make it pay. Quite the opposite, in fact. I develop this point at some length in the chapters that follow, so I shall not elaborate upon it here except to say that every modern artist who has chosen to labor with a gift must sooner or later wonder how he or she is to survive in a society dominated by market exchange. And if the fruits of a gift are gifts themselves, how is the artist to nourish himself, spiritually as well as materially, in an age whose values are market values and whose commerce consists almost exclusively in the purchase and sale of commodities?	 Artists, who often work in the realm of gifts rather than commodities, face a unique challenge in a society dominated by market exchange. The question arises of how they can sustain themselves materially and spiritually in an environment where the primary values are market values and commerce is largely based on the buying and selling of commodities.	The Artist's Dilemma: Balancing Art and Survival in a Market Economy
Every culture offers its citizens an image of what it is to be a man or woman of substance. There have been times and places in which a person came into his or her social being through the dispersal of his gifts, the “big man” or “big woman” being that one through whom the most gifts flowed. The mythology of a market society reverses the picture: getting rather than giving is the mark of a substantial person, and the hero is “self-possessed,” “self-made.” So long as these assumptions rule, a disquieting sense of triviality, of worthlessness even, will nag the man or woman who labors in the service of a gift and whose products are not adequately described as commodities. Where we reckon our substance by our acquisitions, the gifts of the gifted man are powerless to make him substantial.	Society's perception of a person of substance has shifted from being the one through whom the most gifts flowed, to the one who acquires the most. This shift can leave those who labor in the service of a gift, such as artists, feeling trivial and worthless, as their work doesn't fit the commodity-focused narrative of a market society.	Giving vs. Acquiring in Society
Moreover, as I shall argue in my opening chapters, a gift that cannot be given away ceases to be a gift. The spirit of a gift is kept alive by its constant donation. If this is the case, then the gifts of the inner world must be accepted as gifts in the outer world if they are to retain their vitality. Where gifts have no public currency, therefore, where the gift as a form of property is neither recognized nor honored, our inner gifts will find themselves excluded from the very commerce which is their nourishment. Or, to say the same thing from a different angle, where commerce is exclusively a traffic in merchandise, the gifted cannot enter into the give-and-take that ensures the livelihood of their spirit.	Gifts maintain their vitality through constant giving. In a society that doesn't recognize non-material gifts, individuals with such gifts struggle to participate in the commerce that nourishes their spirit.	The Vitality of Gifts
